source,block_id,valid_date,issue_date,lead_day,rain_mm,tmax_c,tmin_c,rh_mean_pct,wind_kmh
mock_nwp_a,MB01,2023-01-01,2022-12-31,1,0.0,22.64,9.16,62.9,3.47
mock_nwp_a,MB02,2023-01-01,2022-12-31,1,0.0,20.4,7.82,67.2,3.91
mock_nwp_a,MB03,2023-01-01,2022-12-31,1,0.0,23.04,6.86,66.7,4.77
mock_nwp_a,MB04,2023-01-01,2022-12-31,1,0.0,22.19,9.38,58.1,4.05
mock_nwp_a,MB05,2023-01-01,2022-12-31,1,0.0,21.27,7.96,70.1,3.48
mock_nwp_a,MB06,2023-01-01,2022-12-31,1,0.0,22.81,8.27,64.5,4.21
mock_nwp_a,MB01,2023-01-02,2023-01-01,1,0.0,19.87,6.98,65.6,3.48
mock_nwp_a,MB02,2023-01-02,2023-01-01,1,0.0,19.69,6.78,53.0,5.33
mock_nwp_a,MB03,2023-01-02,2023-01-01,1,5.74,19.46,6.4,61.7,6.18
mock_nwp_a,MB04,2023-01-02,2023-01-01,1,0.0,19.16,3.6,75.5,7.72
mock_nwp_a,MB05,2023-01-02,2023-01-01,1,0.0,17.83,4.59,52.0,5.96
mock_nwp_a,MB06,2023-01-02,2023-01-01,1,0.0,21.37,8.48,74.8,3.36
mock_nwp_a,MB01,2023-01-03,2023-01-02,1,0.0,16.58,4.21,53.5,5.69
mock_nwp_a,MB02,2023-01-03,2023-01-02,1,0.0,17.27,2.98,65.8,6.53
mock_nwp_a,MB03,2023-01-03,2023-01-02,1,0.0,16.99,6.79,64.9,5.11
mock_nwp_a,MB04,2023-01-03,2023-01-02,1,0.0,12.66,8.95,68.4,4.9
mock_nwp_a,MB05,2023-01-03,2023-01-02,1,0.0,15.23,5.17,53.4,5.17
mock_nwp_a,MB06,2023-01-03,2023-01-02,1,0.0,14.77,5.24,54.8,4.37
mock_nwp_a,MB01,2023-01-04,2023-01-03,1,0.0,15.13,4.32,49.7,6.2
mock_nwp_a,MB02,2023-01-04,2023-01-03,1,0.0,15.52,6.85,71.3,5.05
mock_nwp_a,MB03,2023-01-04,2023-01-03,1,2.75,13.77,6.89,70.2,5.46
mock_nwp_a,MB04,2023-01-04,2023-01-03,1,0.61,12.39,5.92,66.1,6.91
mock_nwp_a,MB05,2023-01-04,2023-01-03,1,0.0,14.31,4.19,55.8,5.69
mock_nwp_a,MB06,2023-01-04,2023-01-03,1,0.0,13.47,8.09,60.3,7.76
mock_nwp_a,MB01,2023-01-05,2023-01-04,1,0.0,13.87,4.39,52.9,8.14
mock_nwp_a,MB02,2023-01-05,2023-01-04,1,0.0,13.35,5.65,70.8,4.54
mock_nwp_a,MB03,2023-01-05,2023-01-04,1,0.0,14.71,4.28,55.0,2.77
mock_nwp_a,MB04,2023-01-05,2023-01-04,1,0.0,13.84,3.03,65.0,8.17
mock_nwp_a,MB05,2023-01-05,2023-01-04,1,0.0,13.18,7.04,64.0,4.6
mock_nwp_a,MB06,2023-01-05,2023-01-04,1,5.38,13.97,3.63,66.9,10.67
mock_nwp_a,MB01,2023-01-06,2023-01-05,1,0.0,17.2,5.02,50.6,11.41
mock_nwp_a,MB02,2023-01-06,2023-01-05,1,0.0,18.88,3.83,58.1,10.72
mock_nwp_a,MB03,2023-01-06,2023-01-05,1,0.0,18.59,3.88,52.9,7.53
mock_nwp_a,MB04,2023-01-06,2023-01-05,1,0.0,17.02,5.43,65.4,13.37
mock_nwp_a,MB05,2023-01-06,2023-01-05,1,0.0,17.16,5.04,61.1,6.95
mock_nwp_a,MB06,2023-01-06,2023-01-05,1,0.0,17.75,6.89,69.0,9.17
mock_nwp_a,MB01,2023-01-07,2023-01-06,1,0.0,17.49,7.01,53.5,12.53
mock_nwp_a,MB02,2023-01-07,2023-01-06,1,0.0,18.1,5.95,63.7,14.15
mock_nwp_a,MB03,2023-01-07,2023-01-06,1,0.0,17.2,4.25,74.4,20.32
mock_nwp_a,MB04,2023-01-07,2023-01-06,1,0.0,18.48,2.61,62.2,11.19
mock_nwp_a,MB05,2023-01-07,2023-01-06,1,0.0,14.87,6.24,57.7,9.01
mock_nwp_a,MB06,2023-01-07,2023-01-06,1,0.0,16.3,6.11,56.6,14.22
mock_nwp_a,MB01,2023-01-08,2023-01-07,1,0.0,15.56,1.92,49.0,15.51
mock_nwp_a,MB02,2023-01-08,2023-01-07,1,0.0,15.95,4.63,62.7,14.64
mock_nwp_a,MB03,2023-01-08,2023-01-07,1,0.0,16.62,4.22,59.6,15.97
mock_nwp_a,MB04,2023-01-08,2023-01-07,1,0.0,17.6,5.58,48.6,18.8
mock_nwp_a,MB05,2023-01-08,2023-01-07,1,0.0,16.93,2.47,65.2,16.73
mock_nwp_a,MB06,2023-01-08,2023-01-07,1,0.0,17.83,3.09,64.0,16.66
mock_nwp_a,MB01,2023-01-09,2023-01-08,1,0.0,17.49,4.87,75.9,12.44
mock_nwp_a,MB02,2023-01-09,2023-01-08,1,0.0,18.12,4.91,59.8,8.49
mock_nwp_a,MB03,2023-01-09,2023-01-08,1,0.0,17.34,7.2,67.0,10.33
mock_nwp_a,MB04,2023-01-09,2023-01-08,1,0.0,19.01,4.89,56.7,10.0
mock_nwp_a,MB05,2023-01-09,2023-01-08,1,0.0,19.63,3.58,55.6,8.96
mock_nwp_a,MB06,2023-01-09,2023-01-08,1,0.0,20.28,4.72,62.1,10.13
mock_nwp_a,MB01,2023-01-10,2023-01-09,1,0.0,15.59,4.04,61.8,7.14
mock_nwp_a,MB02,2023-01-10,2023-01-09,1,0.0,15.48,5.9,59.1,7.06
mock_nwp_a,MB03,2023-01-10,2023-01-09,1,0.0,14.28,5.88,66.4,6.37
mock_nwp_a,MB04,2023-01-10,2023-01-09,1,0.0,14.35,4.51,48.1,9.38
mock_nwp_a,MB05,2023-01-10,2023-01-09,1,0.0,15.42,4.82,56.4,10.02
mock_nwp_a,MB06,2023-01-10,2023-01-09,1,0.43,14.43,5.05,73.0,6.78
mock_nwp_a,MB01,2023-01-11,2023-01-10,1,1.41,16.13,5.83,47.5,7.2
mock_nwp_a,MB02,2023-01-11,2023-01-10,1,0.0,17.6,8.19,56.9,5.42
mock_nwp_a,MB03,2023-01-11,2023-01-10,1,0.0,19.1,6.77,69.3,4.3
mock_nwp_a,MB04,2023-01-11,2023-01-10,1,0.0,14.48,4.81,54.4,4.81
mock_nwp_a,MB05,2023-01-11,2023-01-10,1,0.0,17.69,5.47,57.9,7.29
mock_nwp_a,MB06,2023-01-11,2023-01-10,1,0.0,18.52,4.45,63.7,5.65
mock_nwp_a,MB01,2023-01-12,2023-01-11,1,0.0,16.36,8.93,63.9,5.81
mock_nwp_a,MB02,2023-01-12,2023-01-11,1,0.0,17.49,8.94,48.3,7.79
mock_nwp_a,MB03,2023-01-12,2023-01-11,1,0.0,19.53,7.53,61.3,5.67
mock_nwp_a,MB04,2023-01-12,2023-01-11,1,0.0,17.88,6.45,64.6,4.23
mock_nwp_a,MB05,2023-01-12,2023-01-11,1,0.0,15.97,8.58,53.3,5.95
mock_nwp_a,MB06,2023-01-12,2023-01-11,1,0.0,19.34,7.46,56.7,3.75
mock_nwp_a,MB01,2023-01-13,2023-01-12,1,0.0,19.27,3.63,55.8,4.16
mock_nwp_a,MB02,2023-01-13,2023-01-12,1,0.0,21.53,6.1,52.9,8.02
mock_nwp_a,MB03,2023-01-13,2023-01-12,1,0.0,18.99,8.3,61.8,7.96
mock_nwp_a,MB04,2023-01-13,2023-01-12,1,2.83,19.09,6.47,57.2,9.71
mock_nwp_a,MB05,2023-01-13,2023-01-12,1,0.0,18.79,7.16,66.5,5.06
mock_nwp_a,MB06,2023-01-13,2023-01-12,1,0.0,21.92,5.75,61.5,5.99
