date,panchayat_id,reported_rain,reported_intensity,channel
2023-01-01,MP0515,no,none,whatsapp
2023-01-01,MP0513,no,none,ivr
2023-01-02,MP0210,no,none,app
2023-01-02,MP0209,no,none,whatsapp
2023-01-03,MP0512,no,none,whatsapp
2023-01-04,MP0414,no,none,app
2023-01-04,MP0315,no,none,whatsapp
2023-01-05,MP0403,yes,heavy,ivr
2023-01-07,MP0103,no,none,whatsapp
2023-01-07,MP0113,yes,moderate,whatsapp
2023-01-08,MP0209,no,none,app
2023-01-09,MP0516,no,none,whatsapp
2023-01-10,MP0216,yes,none,ivr
2023-01-10,MP0402,no,none,whatsapp
2023-01-11,MP0504,no,none,whatsapp
2023-01-11,MP0411,no,none,whatsapp
2023-01-11,MP0510,no,none,ivr
2023-01-12,MP0308,no,none,ivr
2023-01-13,MP0211,no,none,ivr
2023-01-14,MP0608,no,none,whatsapp
2023-01-15,MP0505,yes,moderate,whatsapp
2023-01-17,MP0103,yes,none,whatsapp
2023-01-17,MP0102,no,none,ivr
2023-01-18,MP0612,yes,none,whatsapp
2023-01-19,MP0404,no,none,ivr
2023-01-19,MP0109,no,none,ivr
2023-01-20,MP0503,yes,light,ivr
2023-01-21,MP0312,no,none,app
2023-01-22,MP0102,no,none,ivr
2023-01-23,MP0316,no,none,ivr
2023-01-23,MP0402,no,none,ivr
2023-01-26,MP0105,no,none,whatsapp
2023-01-26,MP0106,no,none,ivr
2023-01-27,MP0605,no,none,app
2023-01-28,MP0113,no,none,whatsapp
2023-01-30,MP0309,no,none,ivr
2023-01-31,MP0405,yes,moderate,ivr
2023-02-01,MP0403,no,none,whatsapp
2023-02-01,MP0310,no,none,whatsapp
2023-02-02,MP0316,yes,light,whatsapp
2023-02-03,MP0603,no,none,app
2023-02-04,MP0112,no,none,whatsapp
2023-02-06,MP0502,no,none,whatsapp
2023-02-06,MP0614,no,none,ivr
2023-02-08,MP0613,no,none,whatsapp
2023-02-08,MP0504,no,none,ivr
2023-02-08,MP0401,no,none,whatsapp
2023-02-09,MP0105,no,none,ivr
2023-02-09,MP0604,no,none,whatsapp
2023-02-09,MP0605,no,none,whatsapp
2023-02-10,MP0510,no,none,whatsapp
2023-02-12,MP0407,no,none,ivr
2023-02-16,MP0515,no,none,whatsapp
2023-02-17,MP0307,no,none,whatsapp
2023-02-19,MP0105,no,none,whatsapp
2023-02-21,MP0316,no,none,ivr
2023-02-21,MP0508,yes,light,app
2023-02-22,MP0102,yes,light,app
2023-02-24,MP0207,no,none,ivr
2023-02-25,MP0506,no,none,ivr
2023-02-28,MP0404,no,none,whatsapp
2023-03-02,MP0302,no,none,ivr
2023-03-03,MP0110,no,none,ivr
2023-03-04,MP0405,no,none,whatsapp
2023-03-05,MP0102,no,none,whatsapp
2023-03-06,MP0406,no,none,whatsapp
2023-03-07,MP0608,no,none,ivr
2023-03-10,MP0104,no,none,whatsapp
2023-03-10,MP0110,no,none,ivr
2023-03-11,MP0108,no,none,ivr
2023-03-11,MP0607,no,none,whatsapp
2023-03-12,MP0314,no,none,ivr
2023-03-12,MP0612,no,none,whatsapp
2023-03-13,MP0614,no,none,app
2023-03-14,MP0601,no,none,whatsapp
2023-03-15,MP0210,no,none,ivr
2023-03-15,MP0309,no,none,whatsapp
2023-03-16,MP0210,no,none,whatsapp
2023-03-17,MP0414,no,none,app
2023-03-17,MP0614,no,none,ivr
2023-03-17,MP0207,yes,heavy,app
2023-03-19,MP0314,no,none,whatsapp
2023-03-19,MP0211,no,none,ivr
2023-03-21,MP0203,no,none,whatsapp
2023-03-22,MP0608,no,none,whatsapp
2023-03-23,MP0210,no,none,app
2023-03-23,MP0205,yes,none,app
2023-03-23,MP0606,no,none,whatsapp
2023-03-24,MP0309,no,none,whatsapp
2023-03-25,MP0107,no,none,whatsapp
2023-03-27,MP0208,no,none,ivr
2023-03-28,MP0404,no,none,app
2023-03-28,MP0614,no,none,ivr
2023-03-29,MP0205,no,none,whatsapp
2023-03-30,MP0205,no,none,ivr
2023-03-30,MP0112,no,none,whatsapp
2023-03-30,MP0407,no,none,whatsapp
2023-03-30,MP0316,no,none,whatsapp
2023-03-31,MP0411,yes,light,app
2023-04-01,MP0211,no,none,ivr
2023-04-01,MP0205,no,none,ivr
2023-04-01,MP0216,no,none,whatsapp
2023-04-01,MP0613,no,none,ivr
2023-04-02,MP0103,no,none,ivr
2023-04-04,MP0307,no,none,whatsapp
2023-04-04,MP0401,no,none,whatsapp
2023-04-05,MP0505,no,none,whatsapp
2023-04-06,MP0309,no,none,ivr
2023-04-06,MP0304,no,none,ivr
2023-04-07,MP0103,no,none,whatsapp
2023-04-07,MP0212,yes,heavy,ivr
2023-04-08,MP0508,yes,light,whatsapp
2023-04-10,MP0605,no,none,whatsapp
2023-04-10,MP0207,no,none,ivr
2023-04-10,MP0306,no,none,whatsapp
2023-04-11,MP0106,yes,light,ivr
2023-04-14,MP0411,no,none,ivr
2023-04-14,MP0510,yes,light,whatsapp
2023-04-15,MP0512,no,none,ivr
2023-04-17,MP0410,no,none,app
2023-04-18,MP0104,no,none,whatsapp
2023-04-20,MP0313,yes,light,app
2023-04-20,MP0514,no,none,ivr
2023-04-24,MP0301,no,none,whatsapp
2023-04-25,MP0402,no,none,whatsapp
2023-04-25,MP0513,no,none,whatsapp
2023-04-25,MP0212,no,none,whatsapp
2023-04-25,MP0105,no,none,whatsapp
2023-04-26,MP0506,no,none,ivr
2023-04-27,MP0202,no,none,app
2023-04-27,MP0415,no,none,ivr
2023-04-27,MP0415,no,none,app
2023-04-27,MP0301,no,none,whatsapp
2023-04-27,MP0104,no,none,whatsapp
2023-04-27,MP0603,no,none,whatsapp
2023-04-28,MP0312,no,none,whatsapp
2023-04-29,MP0510,no,none,ivr
2023-05-02,MP0113,no,none,app
2023-05-02,MP0101,no,none,whatsapp
2023-05-02,MP0210,no,none,whatsapp
2023-05-02,MP0207,no,none,ivr
2023-05-03,MP0311,no,none,whatsapp
2023-05-04,MP0515,yes,moderate,app
2023-05-05,MP0113,no,none,app
2023-05-05,MP0613,yes,light,ivr
2023-05-05,MP0506,no,none,whatsapp
2023-05-06,MP0410,yes,heavy,ivr
2023-05-06,MP0503,no,none,ivr
2023-05-08,MP0602,no,none,app
2023-05-09,MP0206,no,none,whatsapp
2023-05-09,MP0504,yes,none,app
2023-05-10,MP0516,no,none,whatsapp
2023-05-10,MP0106,no,none,ivr
2023-05-10,MP0407,no,none,ivr
2023-05-13,MP0307,no,none,whatsapp
2023-05-13,MP0203,no,none,whatsapp
2023-05-16,MP0406,no,none,app
2023-05-16,MP0308,no,none,ivr
2023-05-16,MP0106,no,none,ivr
2023-05-17,MP0516,no,none,whatsapp
2023-05-17,MP0301,no,none,ivr
2023-05-18,MP0513,no,none,whatsapp
2023-05-20,MP0307,no,none,app
2023-05-20,MP0201,no,none,ivr
2023-05-22,MP0609,yes,none,ivr
2023-05-24,MP0112,no,none,app
2023-05-24,MP0510,no,none,whatsapp
2023-05-26,MP0212,no,none,whatsapp
2023-05-28,MP0516,no,none,app
2023-05-29,MP0414,no,none,ivr
2023-05-29,MP0408,no,none,whatsapp
2023-05-30,MP0516,no,none,app
2023-05-31,MP0503,yes,heavy,app
2023-05-31,MP0406,yes,moderate,ivr
2023-06-01,MP0516,yes,light,ivr
2023-06-02,MP0302,no,none,whatsapp
2023-06-02,MP0203,no,none,whatsapp
2023-06-03,MP0507,no,none,whatsapp
2023-06-09,MP0301,no,none,whatsapp
2023-06-09,MP0108,no,none,whatsapp
2023-06-10,MP0404,no,none,whatsapp
2023-06-10,MP0101,no,none,whatsapp
2023-06-12,MP0502,no,none,ivr
2023-06-12,MP0405,no,none,whatsapp
2023-06-14,MP0113,yes,light,ivr
2023-06-15,MP0509,no,none,whatsapp
2023-06-16,MP0314,no,none,whatsapp
2023-06-16,MP0610,no,none,ivr
2023-06-18,MP0614,no,none,whatsapp
2023-06-19,MP0404,no,none,whatsapp
2023-06-20,MP0501,no,none,app
2023-06-21,MP0103,no,none,whatsapp
2023-06-22,MP0402,no,none,ivr
2023-06-23,MP0405,no,none,whatsapp
2023-06-23,MP0215,no,none,ivr
2023-06-24,MP0205,no,none,whatsapp
2023-06-24,MP0414,no,none,whatsapp
2023-06-24,MP0401,no,none,whatsapp
2023-06-25,MP0407,no,none,whatsapp
2023-06-27,MP0110,yes,light,whatsapp
2023-06-27,MP0103,no,none,ivr
