panchayat_id,season,crop,sowing_date,expected_harvest_date,crop_area_fraction
MP0101,rabi_2022_23,wheat,2022-11-21,2023-04-15,0.87
MP0101,kharif_2023,bajra,2023-06-30,2023-09-23,0.52
MP0101,rabi_2023_24,wheat,2023-11-16,2024-04-09,0.54
MP0101,kharif_2024,bajra,2024-06-27,2024-09-20,0.61
MP0101,rabi_2024_25,wheat,2024-11-14,2025-04-08,0.65
MP0102,rabi_2022_23,wheat,2022-11-20,2023-04-14,0.88
MP0102,kharif_2023,cotton,2023-05-17,2023-11-13,0.6
MP0102,rabi_2023_24,wheat,2023-11-19,2024-04-12,0.73
MP0102,kharif_2024,cotton,2024-05-14,2024-11-10,0.52
MP0102,rabi_2024_25,wheat,2024-11-19,2025-04-13,0.71
MP0103,rabi_2022_23,wheat,2022-11-12,2023-04-06,0.79
MP0103,kharif_2023,bajra,2023-07-09,2023-10-02,0.74
MP0103,rabi_2023_24,wheat,2023-11-13,2024-04-06,0.56
MP0103,kharif_2024,bajra,2024-07-13,2024-10-06,0.52
MP0103,rabi_2024_25,wheat,2024-11-15,2025-04-09,0.85
MP0201,rabi_2022_23,wheat,2022-11-04,2023-03-29,0.67
MP0201,kharif_2023,bajra,2023-06-30,2023-09-23,0.88
MP0201,rabi_2023_24,wheat,2023-11-02,2024-03-26,0.71
MP0201,kharif_2024,bajra,2024-07-04,2024-09-27,0.77
MP0201,rabi_2024_25,wheat,2024-11-12,2025-04-06,0.7
MP0202,rabi_2022_23,wheat,2022-11-04,2023-03-29,0.54
MP0202,kharif_2023,bajra,2023-06-30,2023-09-23,0.72
MP0202,rabi_2023_24,wheat,2023-11-09,2024-04-02,0.59
MP0202,kharif_2024,bajra,2024-07-01,2024-09-24,0.82
MP0202,rabi_2024_25,wheat,2024-11-08,2025-04-02,0.81
MP0203,rabi_2022_23,wheat,2022-11-27,2023-04-21,0.79
MP0203,kharif_2023,cotton,2023-05-19,2023-11-15,0.82
MP0203,rabi_2023_24,wheat,2023-11-24,2024-04-17,0.74
MP0203,kharif_2024,cotton,2024-05-14,2024-11-10,0.69
MP0203,rabi_2024_25,wheat,2024-11-27,2025-04-21,0.88
MP0204,rabi_2022_23,wheat,2022-11-13,2023-04-07,0.88
MP0204,kharif_2023,cotton,2023-05-06,2023-11-02,0.71
MP0204,rabi_2023_24,wheat,2023-11-17,2024-04-10,0.56
MP0204,kharif_2024,cotton,2024-05-05,2024-11-01,0.52
MP0204,rabi_2024_25,wheat,2024-11-15,2025-04-09,0.65
MP0301,rabi_2022_23,mustard,2022-11-25,2023-04-04,0.83
MP0301,kharif_2023,cotton,2023-05-08,2023-11-04,0.54
MP0301,rabi_2023_24,mustard,2023-11-21,2024-03-30,0.57
MP0301,kharif_2024,cotton,2024-05-04,2024-10-31,0.55
MP0301,rabi_2024_25,mustard,2024-11-22,2025-04-01,0.55
MP0302,rabi_2022_23,wheat,2022-11-10,2023-04-04,0.57
MP0302,kharif_2023,cotton,2023-05-09,2023-11-05,0.7
MP0302,rabi_2023_24,wheat,2023-11-17,2024-04-10,0.7
MP0302,kharif_2024,cotton,2024-05-15,2024-11-11,0.62
MP0302,rabi_2024_25,wheat,2024-11-14,2025-04-08,0.73
MP0303,rabi_2022_23,wheat,2022-11-23,2023-04-17,0.52
MP0303,kharif_2023,cotton,2023-05-05,2023-11-01,0.57
MP0303,rabi_2023_24,wheat,2023-11-30,2024-04-23,0.71
MP0303,kharif_2024,cotton,2024-05-04,2024-10-31,0.87
MP0303,rabi_2024_25,wheat,2024-11-21,2025-04-15,0.68
MP0104,rabi_2022_23,mustard,2022-11-16,2023-03-26,0.89
MP0104,kharif_2023,bajra,2023-07-13,2023-10-06,0.69
MP0104,rabi_2023_24,mustard,2023-11-22,2024-03-31,0.72
MP0104,kharif_2024,bajra,2024-07-12,2024-10-05,0.88
MP0104,rabi_2024_25,mustard,2024-11-18,2025-03-28,0.87
MP0105,rabi_2022_23,wheat,2022-11-13,2023-04-07,0.6
MP0105,kharif_2023,bajra,2023-07-03,2023-09-26,0.57
MP0105,rabi_2023_24,wheat,2023-11-18,2024-04-11,0.88
MP0105,kharif_2024,bajra,2024-07-06,2024-09-29,0.68
MP0105,rabi_2024_25,wheat,2024-11-13,2025-04-07,0.56
MP0106,rabi_2022_23,wheat,2022-11-24,2023-04-18,0.56
MP0106,kharif_2023,bajra,2023-07-10,2023-10-03,0.87
