panchayat_id,panchayat_name,block_id,lat,lon,elevation_m,tpi_z,slope_deg,irrigated_frac,canal_dist_km,cropland_frac,urban_frac,water_frac,tree_frac,clay_pct,sand_pct,silt_pct,soil_texture,whc_mm_per_m,drainage_class
MP0101,Synthetic Panchayat MP0101,MB01,28.97421,75.41155,215.3,0.513,0.7,0.308,5.47,0.832,0.07,0.017,0.068,14.8,48.6,36.6,loam,128.6,good
MP0102,Synthetic Panchayat MP0102,MB01,28.966,75.47368,214.9,0.24,0.89,0.463,3.25,0.829,0.064,0.034,0.068,17.0,45.3,37.6,loam,134.0,good
MP0103,Synthetic Panchayat MP0103,MB01,28.97629,75.5108,214.8,0.145,0.39,0.391,0.52,0.787,0.08,0.024,0.031,12.2,46.8,41.0,loam,123.8,good
MP0201,Synthetic Panchayat MP0201,MB02,28.97234,75.55375,213.9,-0.58,0.27,0.358,1.69,0.909,0.047,0.004,0.02,12.0,49.4,38.7,loam,122.6,good
MP0202,Synthetic Panchayat MP0202,MB02,28.95756,75.59625,215.6,0.518,0.39,0.438,8.67,0.912,0.001,0.003,0.079,9.9,50.1,40.0,loam,118.3,good
MP0203,Synthetic Panchayat MP0203,MB02,28.97915,75.6516,214.9,0.026,0.69,0.611,1.65,0.841,0.062,0.007,0.084,16.9,41.7,41.5,loam,134.7,moderate
MP0204,Synthetic Panchayat MP0204,MB02,28.9739,75.68815,218.3,2.286,0.16,0.652,2.77,0.813,0.066,0.072,0.037,16.9,43.6,39.5,loam,134.2,good
MP0301,Synthetic Panchayat MP0301,MB03,28.97451,75.72451,217.6,1.799,0.4,0.475,6.13,0.712,0.191,0.025,0.013,15.0,47.3,37.7,loam,129.3,good
MP0302,Synthetic Panchayat MP0302,MB03,28.95839,75.77047,216.0,0.712,0.24,0.528,1.37,0.89,0.043,0.034,0.015,22.3,36.8,40.8,loam,147.1,moderate
MP0303,Synthetic Panchayat MP0303,MB03,28.96628,75.84205,214.3,-0.355,0.9,0.656,0.19,0.912,0.022,0.014,0.047,21.3,37.6,41.1,loam,144.8,moderate
MP0104,Synthetic Panchayat MP0104,MB01,28.99933,75.43537,212.9,-1.044,0.67,0.242,0.79,0.689,0.023,0.04,0.24,10.2,45.4,44.4,loam,120.3,good
MP0105,Synthetic Panchayat MP0105,MB01,29.01296,75.47379,216.3,1.237,0.65,0.354,1.88,0.83,0.031,0.001,0.128,12.2,50.6,37.2,loam,122.8,good
MP0106,Synthetic Panchayat MP0106,MB01,29.00602,75.50512,215.0,0.309,0.64,0.327,1.71,0.835,0.103,0.045,0.009,17.6,46.4,36.1,loam,134.8,moderate
MP0205,Synthetic Panchayat MP0205,MB02,29.01041,75.57228,215.4,0.494,0.44,0.378,2.24,0.886,0.041,0.008,0.064,17.4,45.3,37.3,loam,134.7,good
MP0206,Synthetic Panchayat MP0206,MB02,29.00111,75.61128,212.2,-1.729,0.51,0.29,4.0,0.759,0.179,0.008,0.024,16.1,49.3,34.5,loam,131.0,moderate
MP0207,Synthetic Panchayat MP0207,MB02,28.99582,75.65433,216.3,1.009,0.09,0.243,4.82,0.764,0.094,0.012,0.129,19.5,42.8,37.7,loam,139.6,good
MP0208,Synthetic Panchayat MP0208,MB02,29.00384,75.6909,215.6,0.538,0.31,0.212,3.48,0.929,0.023,0.009,0.038,15.0,48.0,36.9,loam,129.2,good
MP0304,Synthetic Panchayat MP0304,MB03,28.99181,75.73033,213.4,-0.959,0.5,0.345,8.2,0.857,0.007,0.037,0.095,19.8,43.4,36.8,loam,140.0,moderate
MP0305,Synthetic Panchayat MP0305,MB03,29.01053,75.76979,214.3,-0.293,0.55,0.422,9.53,0.843,0.027,0.012,0.089,21.0,40.7,38.3,loam,143.3,moderate
MP0306,Synthetic Panchayat MP0306,MB03,29.00573,75.84018,215.6,0.591,0.81,0.489,3.18,0.743,0.061,0.003,0.177,20.9,39.1,40.0,loam,143.6,good
MP0107,Synthetic Panchayat MP0107,MB01,29.04382,75.42111,214.4,0.028,0.92,0.498,4.69,0.854,0.041,0.031,0.052,14.6,55.7,29.7,loam,126.0,good
MP0108,Synthetic Panchayat MP0108,MB01,29.03394,75.45812,214.0,-0.317,0.92,0.418,1.36,0.661,0.119,0.018,0.178,11.3,48.0,40.7,loam,121.8,good
MP0109,Synthetic Panchayat MP0109,MB01,29.04903,75.50639,214.2,-0.192,0.15,0.204,0.47,0.836,0.083,0.035,0.03,15.8,43.1,41.1,loam,132.3,moderate
