week_start,panchayat_id,ndvi,lst_day_c
2023-01-01,MP0101,0.263,22.4
2023-01-01,MP0102,0.25,22.0
2023-01-01,MP0103,0.261,22.2
2023-01-01,MP0201,0.278,22.0
2023-01-01,MP0202,0.303,23.2
2023-01-01,MP0203,0.231,21.3
2023-01-01,MP0204,,
2023-01-01,MP0301,0.279,22.9
2023-01-01,MP0302,0.319,23.6
2023-01-01,MP0303,0.319,21.0
2023-01-01,MP0104,0.292,20.8
2023-01-01,MP0105,0.303,20.9
2023-01-01,MP0106,0.279,21.2
2023-01-01,MP0205,0.288,23.1
2023-01-01,MP0206,0.284,24.6
2023-01-01,MP0207,0.248,25.5
2023-01-01,MP0208,0.263,21.1
2023-01-01,MP0304,0.286,19.4
2023-01-01,MP0305,0.26,20.9
2023-01-01,MP0306,0.352,23.5
2023-01-01,MP0107,0.279,23.2
2023-01-01,MP0108,0.3,23.5
2023-01-01,MP0109,0.245,22.9
2023-01-01,MP0209,0.271,20.5
2023-01-01,MP0210,0.269,23.3
2023-01-01,MP0211,0.318,23.1
2023-01-01,MP0307,0.297,21.3
2023-01-01,MP0308,0.251,21.0
2023-01-01,MP0309,0.284,21.3
2023-01-01,MP0310,0.299,22.7
2023-01-01,MP0110,0.332,20.8
2023-01-01,MP0111,0.342,20.6
2023-01-01,MP0112,,
2023-01-01,MP0212,0.312,24.7
2023-01-01,MP0213,0.25,22.0
2023-01-01,MP0214,0.318,22.3
2023-01-01,MP0215,0.258,24.3
2023-01-01,MP0311,0.313,21.9
2023-01-01,MP0312,0.318,23.2
2023-01-01,MP0313,0.257,22.9
2023-01-01,MP0113,0.286,21.2
2023-01-01,MP0401,0.256,24.2
2023-01-01,MP0402,0.257,23.6
2023-01-01,MP0216,0.332,22.8
2023-01-01,MP0501,0.287,22.2
2023-01-01,MP0502,0.264,22.5
2023-01-01,MP0314,0.296,19.7
2023-01-01,MP0315,0.268,20.6
2023-01-01,MP0601,0.351,23.4
2023-01-01,MP0316,0.271,24.7
2023-01-01,MP0403,0.288,22.2
2023-01-01,MP0404,0.284,24.9
2023-01-01,MP0405,,
2023-01-01,MP0503,0.263,20.8
2023-01-01,MP0504,0.283,20.7
2023-01-01,MP0505,0.285,22.3
2023-01-01,MP0506,0.255,22.9
2023-01-01,MP0602,0.296,22.3
2023-01-01,MP0603,0.264,21.1
2023-01-01,MP0604,0.323,22.4
2023-01-01,MP0406,0.274,23.2
2023-01-01,MP0407,0.318,21.2
2023-01-01,MP0408,0.298,19.6
2023-01-01,MP0507,0.269,21.2
2023-01-01,MP0508,0.286,21.9
2023-01-01,MP0509,,
2023-01-01,MP0510,0.216,21.9
2023-01-01,MP0605,,
2023-01-01,MP0606,0.261,20.1
2023-01-01,MP0607,0.257,23.1
2023-01-01,MP0409,0.301,23.2
2023-01-01,MP0410,0.272,25.0
2023-01-01,MP0411,0.302,21.0
2023-01-01,MP0412,0.23,21.7
2023-01-01,MP0511,0.26,23.2
2023-01-01,MP0512,0.343,21.8
2023-01-01,MP0608,0.183,22.5
2023-01-01,MP0609,0.301,22.0
2023-01-01,MP0610,,
2023-01-01,MP0611,,
2023-01-01,MP0413,0.26,22.8
2023-01-01,MP0414,0.295,24.4
2023-01-01,MP0415,0.263,21.8
2023-01-01,MP0513,0.31,22.4
2023-01-01,MP0514,0.177,21.3
2023-01-01,MP0515,0.242,23.9
2023-01-01,MP0516,0.284,23.1
2023-01-01,MP0612,0.33,23.4
2023-01-01,MP0613,,
2023-01-01,MP0614,0.283,23.7
2023-01-08,MP0101,0.274,25.3
2023-01-08,MP0102,0.324,23.1
2023-01-08,MP0103,0.333,21.9
2023-01-08,MP0201,0.315,23.9
2023-01-08,MP0202,0.368,23.7
2023-01-08,MP0203,0.396,22.1
2023-01-08,MP0204,0.322,24.1
2023-01-08,MP0301,0.313,24.9
2023-01-08,MP0302,0.361,23.5
2023-01-08,MP0303,0.357,26.0
2023-01-08,MP0104,,
2023-01-08,MP0105,,
2023-01-08,MP0106,0.292,22.4
2023-01-08,MP0205,0.38,21.5
2023-01-08,MP0206,0.286,21.7
2023-01-08,MP0207,0.292,20.4
2023-01-08,MP0208,0.367,23.1
2023-01-08,MP0304,,
2023-01-08,MP0305,0.335,24.1
2023-01-08,MP0306,0.283,23.4
2023-01-08,MP0107,0.313,21.8
2023-01-08,MP0108,0.313,24.2
2023-01-08,MP0109,0.288,23.7
2023-01-08,MP0209,0.292,23.7
2023-01-08,MP0210,0.323,25.1
2023-01-08,MP0211,0.318,21.6
2023-01-08,MP0307,0.333,22.2
2023-01-08,MP0308,0.328,23.3
2023-01-08,MP0309,0.325,21.9
2023-01-08,MP0310,0.337,24.5
2023-01-08,MP0110,0.296,23.0
2023-01-08,MP0111,0.357,22.2
2023-01-08,MP0112,0.385,21.4
2023-01-08,MP0212,0.328,22.7
2023-01-08,MP0213,0.235,24.9
2023-01-08,MP0214,0.302,22.2
2023-01-08,MP0215,0.364,20.5
2023-01-08,MP0311,0.29,24.2
2023-01-08,MP0312,0.285,22.1
2023-01-08,MP0313,0.258,22.8
2023-01-08,MP0113,0.315,23.2
2023-01-08,MP0401,0.3,24.9
2023-01-08,MP0402,0.286,17.9
2023-01-08,MP0216,0.36,24.4
2023-01-08,MP0501,0.32,23.7
2023-01-08,MP0502,0.334,23.5
2023-01-08,MP0314,0.321,22.5
2023-01-08,MP0315,0.301,22.6
2023-01-08,MP0601,0.357,24.5
2023-01-08,MP0316,0.285,22.3
2023-01-08,MP0403,0.339,24.5
2023-01-08,MP0404,0.214,23.3
2023-01-08,MP0405,0.298,23.9
2023-01-08,MP0503,0.252,23.0
2023-01-08,MP0504,0.284,22.7
2023-01-08,MP0505,0.297,21.6
2023-01-08,MP0506,,
2023-01-08,MP0602,0.324,21.8
2023-01-08,MP0603,0.366,21.9
2023-01-08,MP0604,0.332,22.7
2023-01-08,MP0406,0.315,21.1
2023-01-08,MP0407,0.255,24.8
2023-01-08,MP0408,0.29,24.2
2023-01-08,MP0507,0.284,25.5
2023-01-08,MP0508,0.279,24.6
2023-01-08,MP0509,0.227,23.5
2023-01-08,MP0510,0.264,22.9
2023-01-08,MP0605,0.365,20.1
2023-01-08,MP0606,0.335,25.9
2023-01-08,MP0607,0.363,26.0
2023-01-08,MP0409,0.277,23.4
2023-01-08,MP0410,0.325,22.9
2023-01-08,MP0411,0.323,19.3
2023-01-08,MP0412,,
2023-01-08,MP0511,0.349,23.9
2023-01-08,MP0512,0.222,23.9
2023-01-08,MP0608,0.257,22.3
2023-01-08,MP0609,0.32,21.3
2023-01-08,MP0610,,
2023-01-08,MP0611,0.307,24.9
2023-01-08,MP0413,0.307,21.4
2023-01-08,MP0414,0.334,23.5
2023-01-08,MP0415,0.331,22.8
2023-01-08,MP0513,0.31,23.0
2023-01-08,MP0514,0.26,23.2
2023-01-08,MP0515,0.271,23.0
2023-01-08,MP0516,0.323,20.7
2023-01-08,MP0612,0.313,22.3
2023-01-08,MP0613,0.379,23.3
2023-01-08,MP0614,0.337,20.8
2023-01-15,MP0101,0.355,20.9
2023-01-15,MP0102,0.376,21.8
2023-01-15,MP0103,0.349,22.9
2023-01-15,MP0201,0.352,23.7
2023-01-15,MP0202,0.415,22.4
2023-01-15,MP0203,,
2023-01-15,MP0204,0.448,20.7
2023-01-15,MP0301,0.363,23.0
2023-01-15,MP0302,0.411,21.0
2023-01-15,MP0303,0.419,21.7
2023-01-15,MP0104,0.33,21.8
2023-01-15,MP0105,0.358,21.2
2023-01-15,MP0106,0.34,21.0
2023-01-15,MP0205,0.401,20.1
2023-01-15,MP0206,0.344,20.8
2023-01-15,MP0207,0.314,21.1
2023-01-15,MP0208,0.384,18.0
2023-01-15,MP0304,0.405,22.5
2023-01-15,MP0305,0.359,21.8
2023-01-15,MP0306,0.342,23.5
2023-01-15,MP0107,0.408,20.8
2023-01-15,MP0108,0.326,20.6
2023-01-15,MP0109,0.385,20.5
2023-01-15,MP0209,0.36,19.3
2023-01-15,MP0210,0.422,20.2
2023-01-15,MP0211,0.393,19.5
2023-01-15,MP0307,0.407,20.3
2023-01-15,MP0308,0.346,20.5
2023-01-15,MP0309,0.291,20.0
2023-01-15,MP0310,0.39,19.9
2023-01-15,MP0110,0.37,20.2
2023-01-15,MP0111,0.343,21.6
2023-01-15,MP0112,0.362,22.9
2023-01-15,MP0212,0.381,20.8
2023-01-15,MP0213,0.308,23.7
2023-01-15,MP0214,0.325,20.3
2023-01-15,MP0215,0.383,21.7
2023-01-15,MP0311,0.386,22.0
2023-01-15,MP0312,0.37,21.0
2023-01-15,MP0313,0.28,22.2
2023-01-15,MP0113,0.427,23.4
2023-01-15,MP0401,0.29,22.6
2023-01-15,MP0402,0.291,21.3
2023-01-15,MP0216,0.346,20.3
2023-01-15,MP0501,0.322,21.2
2023-01-15,MP0502,0.37,21.3
2023-01-15,MP0314,0.342,23.4
2023-01-15,MP0315,0.31,20.6
2023-01-15,MP0601,0.371,20.4
2023-01-15,MP0316,0.345,19.0
2023-01-15,MP0403,0.346,22.3
2023-01-15,MP0404,0.314,20.2
2023-01-15,MP0405,0.315,20.5
2023-01-15,MP0503,0.321,21.1
2023-01-15,MP0504,0.392,22.1
2023-01-15,MP0505,0.385,20.5
2023-01-15,MP0506,0.328,18.8
2023-01-15,MP0602,0.291,19.7
2023-01-15,MP0603,0.34,20.9
2023-01-15,MP0604,0.439,20.8
2023-01-15,MP0406,0.392,23.3
2023-01-15,MP0407,0.331,24.6
2023-01-15,MP0408,0.37,21.3
2023-01-15,MP0507,0.32,22.0
2023-01-15,MP0508,0.319,18.0
2023-01-15,MP0509,0.259,22.4
2023-01-15,MP0510,0.269,21.8
2023-01-15,MP0605,0.306,22.5
2023-01-15,MP0606,0.336,21.4
2023-01-15,MP0607,0.33,20.9
2023-01-15,MP0409,0.279,20.4
2023-01-15,MP0410,0.319,20.8
2023-01-15,MP0411,0.401,21.0
2023-01-15,MP0412,0.385,20.5
2023-01-15,MP0511,0.297,21.4
2023-01-15,MP0512,0.313,20.5
2023-01-15,MP0608,0.292,21.4
2023-01-15,MP0609,0.361,21.3
2023-01-15,MP0610,0.312,20.0
2023-01-15,MP0611,0.326,20.8
2023-01-15,MP0413,0.371,21.1
2023-01-15,MP0414,0.347,22.7
2023-01-15,MP0415,0.367,22.0
2023-01-15,MP0513,0.359,23.2
2023-01-15,MP0514,0.408,21.7
2023-01-15,MP0515,0.357,18.0
2023-01-15,MP0516,0.359,23.5
2023-01-15,MP0612,0.355,20.0
2023-01-15,MP0613,0.382,22.0
2023-01-15,MP0614,0.377,21.2
2023-01-22,MP0101,0.376,23.3
2023-01-22,MP0102,0.402,22.1
2023-01-22,MP0103,0.384,23.6
2023-01-22,MP0201,,
2023-01-22,MP0202,0.46,23.1
2023-01-22,MP0203,0.417,20.6
2023-01-22,MP0204,0.45,21.7
2023-01-22,MP0301,0.413,21.3
2023-01-22,MP0302,0.435,21.8
2023-01-22,MP0303,0.481,23.9
2023-01-22,MP0104,0.429,23.0
2023-01-22,MP0105,0.392,25.6
2023-01-22,MP0106,0.442,23.1
2023-01-22,MP0205,0.372,20.8
2023-01-22,MP0206,0.417,25.5
2023-01-22,MP0207,0.375,21.3
2023-01-22,MP0208,0.375,20.9
2023-01-22,MP0304,0.409,21.5
2023-01-22,MP0305,0.442,24.3
2023-01-22,MP0306,0.324,22.9
2023-01-22,MP0107,,
2023-01-22,MP0108,0.374,24.2
2023-01-22,MP0109,0.379,20.3
2023-01-22,MP0209,0.393,22.4
2023-01-22,MP0210,0.456,22.9
2023-01-22,MP0211,0.408,20.7
2023-01-22,MP0307,0.354,21.9
2023-01-22,MP0308,0.406,24.1
2023-01-22,MP0309,0.428,25.5
2023-01-22,MP0310,0.378,22.6
2023-01-22,MP0110,0.416,23.5
2023-01-22,MP0111,0.366,24.8
2023-01-22,MP0112,0.398,23.2
2023-01-22,MP0212,,
2023-01-22,MP0213,0.422,19.9
2023-01-22,MP0214,0.357,23.8
2023-01-22,MP0215,0.412,24.9
2023-01-22,MP0311,0.339,21.6
