date,station_id,rain_mm,tmax_c,tmin_c,rh_mean_pct,wind_kmh
2023-01-01,MOCK_AWS_01,0.0,22.8,7.9,63.0,3.9
2023-01-02,MOCK_AWS_01,0.0,20.2,5.1,68.0,2.1
2023-01-03,MOCK_AWS_01,0.0,15.9,5.4,61.0,4.9
2023-01-04,MOCK_AWS_01,0.0,14.6,5.0,59.0,5.1
2023-01-05,MOCK_AWS_01,0.0,14.8,4.2,58.0,5.7
2023-01-06,MOCK_AWS_01,0.0,17.5,4.8,71.0,7.3
2023-01-07,MOCK_AWS_01,0.0,19.2,4.2,56.0,10.5
2023-01-08,MOCK_AWS_01,0.0,16.8,3.2,66.0,13.9
2023-01-09,MOCK_AWS_01,0.0,18.9,5.5,64.0,10.5
2023-01-10,MOCK_AWS_01,,,,,
2023-01-11,MOCK_AWS_01,1.5,17.0,4.7,59.0,4.9
2023-01-12,MOCK_AWS_01,,,,,
2023-01-13,MOCK_AWS_01,0.0,19.9,5.8,66.0,3.7
2023-01-14,MOCK_AWS_01,0.0,21.1,6.2,61.0,8.6
2023-01-15,MOCK_AWS_01,0.0,20.8,6.0,67.0,3.8
2023-01-16,MOCK_AWS_01,0.0,21.1,6.6,60.0,3.1
2023-01-17,MOCK_AWS_01,0.0,15.3,5.1,67.0,6.5
2023-01-18,MOCK_AWS_01,0.0,15.4,6.5,56.0,6.2
2023-01-19,MOCK_AWS_01,0.0,17.7,4.6,70.0,8.7
2023-01-20,MOCK_AWS_01,1.4,15.7,3.9,50.0,8.9
2023-01-21,MOCK_AWS_01,0.0,17.7,3.8,70.0,12.1
2023-01-22,MOCK_AWS_01,0.0,16.2,5.6,75.0,13.1
2023-01-23,MOCK_AWS_01,0.0,17.2,6.6,64.0,11.7
2023-01-24,MOCK_AWS_01,0.0,20.6,6.7,65.0,15.3
2023-01-25,MOCK_AWS_01,0.0,21.9,8.7,65.0,12.8
2023-01-26,MOCK_AWS_01,0.0,18.3,7.5,69.0,10.2
2023-01-27,MOCK_AWS_01,0.0,25.0,9.2,62.0,9.3
2023-01-28,MOCK_AWS_01,0.0,21.2,7.4,62.0,8.0
2023-01-29,MOCK_AWS_01,0.0,21.4,7.6,65.0,6.6
2023-01-30,MOCK_AWS_01,0.0,22.5,6.7,64.0,8.3
2023-01-31,MOCK_AWS_01,0.0,22.2,9.7,64.0,5.9
2023-02-01,MOCK_AWS_01,0.0,22.9,9.2,62.0,9.6
2023-02-02,MOCK_AWS_01,0.0,22.3,9.6,62.0,6.8
2023-02-03,MOCK_AWS_01,0.0,22.0,8.5,73.0,5.3
2023-02-04,MOCK_AWS_01,0.0,22.1,8.5,63.0,4.3
2023-02-05,MOCK_AWS_01,0.0,24.2,8.6,60.0,6.1
2023-02-06,MOCK_AWS_01,0.0,25.4,9.9,59.0,4.4
2023-02-07,MOCK_AWS_01,0.0,23.8,8.9,59.0,4.2
2023-02-08,MOCK_AWS_01,0.0,22.9,8.0,62.0,5.1
2023-02-09,MOCK_AWS_01,0.0,23.9,10.4,63.0,7.2
2023-02-10,MOCK_AWS_01,0.0,24.8,10.5,62.0,4.3
2023-02-11,MOCK_AWS_01,0.0,21.3,6.3,58.0,5.1
2023-02-12,MOCK_AWS_01,0.0,24.5,9.1,63.0,7.2
2023-02-13,MOCK_AWS_01,0.0,24.5,9.5,62.0,10.6
2023-02-14,MOCK_AWS_01,0.0,23.9,8.7,66.0,10.9
2023-02-15,MOCK_AWS_01,0.0,25.6,10.5,62.0,7.1
2023-02-16,MOCK_AWS_01,0.0,27.1,11.8,64.0,6.0
2023-02-17,MOCK_AWS_01,0.0,26.9,10.0,60.0,7.8
