station_id,station_type,panchayat_id,block_id,lat,lon,elevation_m
MOCK_AWS_01,AWS,MP0103,MB01,28.98261,75.50711,214.8
MOCK_AWS_02,AWS,MP0113,MB01,29.09994,75.41722,215.9
MOCK_ARG_03,ARG,MP0109,MB01,29.0335,75.50851,214.2
MOCK_ARG_04,ARG,MP0104,MB01,28.99061,75.44464,212.9
MOCK_AWS_05,AWS,MP0212,MB02,29.06943,75.55845,216.8
MOCK_AWS_06,AWS,MP0214,MB02,29.06807,75.64674,215.7
MOCK_ARG_07,ARG,MP0207,MB02,28.99497,75.65905,216.3
MOCK_ARG_08,ARG,MP0215,MB02,29.07235,75.68663,214.0
MOCK_AWS_09,AWS,MP0304,MB03,28.99969,75.72216,213.4
MOCK_AWS_10,AWS,MP0305,MB03,29.01578,75.76834,214.3
MOCK_ARG_11,ARG,MP0301,MB03,28.9726,75.72297,217.6
MOCK_ARG_12,ARG,MP0312,MB03,29.07171,75.76826,213.0
MOCK_AWS_13,AWS,MP0403,MB04,29.13672,75.42664,212.8
MOCK_AWS_14,AWS,MP0409,MB04,29.20496,75.40983,214.0
MOCK_ARG_15,ARG,MP0412,MB04,29.20202,75.54113,210.0
MOCK_ARG_16,ARG,MP0406,MB04,29.18332,75.4305,213.5
MOCK_AWS_17,AWS,MP0508,MB05,29.18794,75.58726,214.5
MOCK_AWS_18,AWS,MP0514,MB05,29.2413,75.58859,214.6
MOCK_ARG_19,ARG,MP0503,MB05,29.14754,75.56109,214.9
MOCK_ARG_20,ARG,MP0505,MB05,29.14566,75.64171,215.6
MOCK_AWS_21,AWS,MP0607,MB06,29.17494,75.84472,213.1
MOCK_AWS_22,AWS,MP0601,MB06,29.10991,75.79207,213.9
MOCK_ARG_23,ARG,MP0603,MB06,29.13284,75.78686,215.3
MOCK_ARG_24,ARG,MP0611,MB06,29.22023,75.85042,213.0
